i=0; b,a->ab; size_dict={'a': 2, 'b': 2};
i=988; badcijf,dbhekijakg->kcjeghf; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 2, 'g': 3, 'h': 3, 'i': 2, 'j': 8, 'k': 2};
i=989; gdbeca,figh->cgeaifhb; size_dict={'a': 3, 'b': 5, 'c': 6, 'd': 3, 'e': 2, 'f': 5, 'g': 2, 'h': 2, 'i': 3};
i=990; dbefg,faeca->cbgde; size_dict={'a': 2, 'b': 15, 'c': 9, 'd': 10, 'e': 3, 'f': 2, 'g': 2};
i=991; aehgbfhc,gacehd->bdf; size_dict={'a': 2, 'b': 9, 'c': 4, 'd': 2, 'e': 3, 'f': 2, 'g': 6, 'h': 6};
i=992; cgdihj,abhdfiej->cahifbe; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 9, 'e': 9, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2};
i=993; ehcdbifa,dfabegc->dgi; size_dict={'a': 5, 'b': 4, 'c': 2, 'd': 2, 'e': 4, 'f': 2, 'g': 5, 'h': 3, 'i': 3};
i=994; aceb,dc->dbea; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 5, 'e': 509};
i=995; ba,ca->cab; size_dict={'a': 416, 'b': 38, 'c': 2};
i=996; hijkgjbeald,lkdbacfh->cfjbieg; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 2, 'e': 3, 'f': 2, 'g': 2, 'h': 4, 'i': 2, 'j': 2, 'k': 2, 'l': 2};
i=997; cde,dabe->bae; size_dict={'a': 6, 'b': 30, 'c': 7, 'd': 13, 'e': 2};
i=998; ifagce,bfhdcegi->hgadb; size_dict={'a': 3, 'b': 8, 'c': 3, 'd': 2, 'e': 7, 'f': 2, 'g': 2, 'h': 3, 'i': 2};
i=999; cgmikal,jlbhfdec->edigblmackfh; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 3, 'j': 4, 'k': 2, 'l': 2, 'm': 2};
i=1000; fdgbech,behaifd->ecghia; size_dict={'a': 3, 'b': 3, 'c': 2, 'd': 4, 'e': 2, 'f': 2, 'g': 6, 'h': 6, 'i': 3};
i=1001; ahjfcei,imjcabdlgk->bghfkemdl; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 3, 'l': 2, 'm': 3};
i=1002; abdc,db->ca; size_dict={'a': 125, 'b': 3, 'c': 31, 'd': 2};
i=1003; efb,cda->acfed; size_dict={'a': 11, 'b': 2, 'c': 14, 'd': 2, 'e': 5, 'f': 10};
i=1004; ebacf,fedc->dbf; size_dict={'a': 2, 'b': 7, 'c': 8, 'd': 23, 'e': 4, 'f': 3};
i=1005; afgd,cgbe->cfbad; size_dict={'a': 9, 'b': 10, 'c': 11, 'd': 4, 'e': 2, 'f': 2, 'g': 2};
i=1006; cdaef,dgfbe->acg; size_dict={'a': 3, 'b': 3, 'c': 7, 'd': 4, 'e': 5, 'f': 4, 'g': 6};
i=1007; cdba,cad->b; size_dict={'a': 31, 'b': 15, 'c': 11, 'd': 6};
i=1008; igaf,dafhbec->dfbehgic; size_dict={'a': 5, 'b': 2, 'c': 2, 'd': 2, 'e': 7, 'f': 2, 'g': 6, 'h': 2, 'i': 4};
i=1009; acb,ca->cb; size_dict={'a': 77, 'b': 30, 'c': 20};
i=1010; bfe,abcd->cdfab; size_dict={'a': 6, 'b': 6, 'c': 5, 'd': 7, 'e': 16, 'f': 2};
i=1011; acdb,a->dabc; size_dict={'a': 12, 'b': 5, 'c': 11, 'd': 68};
i=1012; jidgfhe,cabdi->hfgjiabce; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 10, 'e': 6, 'f': 2, 'g': 2, 'h': 2, 'i': 3, 'j': 4};
i=1013; cb,bca->a; size_dict={'a': 5, 'b': 59, 'c': 131};
i=1014; bdfafde,gcgbb->gdcfa; size_dict={'a': 9, 'b': 4, 'c': 2, 'd': 4, 'e': 6, 'f': 7, 'g': 3};
i=1015; ca,ab->cab; size_dict={'a': 176, 'b': 2, 'c': 131};
i=1016; ba,c->abc; size_dict={'a': 168, 'b': 53, 'c': 5};
i=1017; biecfdh,iigahefcd->bga; size_dict={'a': 7, 'b': 2, 'c': 4, 'd': 3, 'e': 2, 'f': 4, 'g': 2, 'h': 4, 'i': 4};
i=1018; cfa,ifecdgbh->ihebdag; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 10, 'e': 2, 'f': 2, 'g': 4, 'h': 2, 'i': 13};
i=1019; bc,dae->ebacd; size_dict={'a': 69, 'b': 4, 'c': 4, 'd': 8, 'e': 5};
i=1020; lcbajfdke,njhflgim->nebdmahgkic; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 3, 'j': 2, 'k': 2, 'l': 2, 'm': 2, 'n': 2};
i=1021; hbfga,fbedgc->abdech; size_dict={'a': 2, 'b': 2, 'c': 6, 'd': 2, 'e': 2, 'f': 11, 'g': 4, 'h': 10};
i=1022; afebcdb,adbc->fde; size_dict={'a': 15, 'b': 5, 'c': 6, 'd': 2, 'e': 19, 'f': 2};
i=1023; edb,cbaa->aced; size_dict={'a': 13, 'b': 4, 'c': 5, 'd': 12, 'e': 14};
i=1024; debca,eed->cba; size_dict={'a': 94, 'b': 3, 'c': 18, 'd': 3, 'e': 3};
i=1025; edcdb,ade->abc; size_dict={'a': 113, 'b': 2, 'c': 48, 'd': 2, 'e': 2};
i=1026; fedce,decba->afb; size_dict={'a': 2, 'b': 7, 'c': 4, 'd': 43, 'e': 3, 'f': 6};
i=1027; cdkgfjh,ebhgika->bjaegid; size_dict={'a': 4, 'b': 3, 'c': 2, 'd': 3, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 4, 'k': 4};
i=1028; dfebacc,acb->cefd; size_dict={'a': 17, 'b': 9, 'c': 10, 'd': 3, 'e': 4, 'f': 2};
i=1029; caejifh,beadgj->hcidgbf; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 12, 'e': 2, 'f': 4, 'g': 2, 'h': 2, 'i': 2, 'j': 4};
i=1030; acd,dbaeb->ce; size_dict={'a': 26, 'b': 9, 'c': 33, 'd': 3, 'e': 2};
i=1031; cbidjf,kaehdfg->jhbckae; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 3, 'e': 3, 'f': 2, 'g': 5, 'h': 3, 'i': 2, 'j': 2, 'k': 3};
i=1032; cgadb,cgadef->fbe; size_dict={'a': 3, 'b': 6, 'c': 5, 'd': 4, 'e': 7, 'f': 9, 'g': 2};
i=1033; biggdc,ebchfgah->defaih; size_dict={'a': 4, 'b': 2, 'c': 3, 'd': 2, 'e': 8, 'f': 2, 'g': 3, 'h': 2, 'i': 10};
i=1034; dcb,acfe->dabef; size_dict={'a': 3, 'b': 3, 'c': 8, 'd': 15, 'e': 20, 'f': 2};
i=1035; jgedihb,ajdcf->hcabieg; size_dict={'a': 2, 'b': 2, 'c': 7, 'd': 4, 'e': 3, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 6};
i=1036; edbca,afbgd->gfce; size_dict={'a': 12, 'b': 3, 'c': 12, 'd': 2, 'e': 12, 'f': 2, 'g': 2};
i=1037; kiefagdcj,cjkafbdgh->hbeig; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 4, 'f': 2, 'g': 2, 'h': 2, 'i': 7, 'j': 4, 'k': 2};
i=1038; ccebad,eaf->fbcd; size_dict={'a': 5, 'b': 11, 'c': 14, 'd': 2, 'e': 3, 'f': 9};
i=1039; hgakeiefj,bcadhje->gkcbdie; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 4, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 10};
i=1040; bfcd,fdeba->ecad; size_dict={'a': 2, 'b': 5, 'c': 29, 'd': 5, 'e': 3, 'f': 10};
i=1041; efb,dagce->afdbg; size_dict={'a': 7, 'b': 7, 'c': 5, 'd': 5, 'e': 2, 'f': 8, 'g': 2};
i=1042; ifhecadhb,bckghdije->fkgja; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 4, 'g': 6, 'h': 2, 'i': 4, 'j': 2, 'k': 2};
i=1043; aekgmcniblh,deaihjkccfmm->fgnmbjck; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 2, 'l': 2, 'm': 3, 'n': 2};
i=1044; bdbeacf,aabde->cf; size_dict={'a': 4, 'b': 11, 'c': 2, 'd': 17, 'e': 13, 'f': 2};
i=1045; ba,ab->b; size_dict={'a': 21892, 'b': 2};
i=1046; dbhg,hbcfea->dcaf; size_dict={'a': 2, 'b': 4, 'c': 10, 'd': 6, 'e': 4, 'f': 5, 'g': 2, 'h': 2};
i=1047; aeidhcb,gidjfb->agcbfedh; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 2, 'e': 2, 'f': 6, 'g': 4, 'h': 4, 'i': 3, 'j': 2};
i=1048; dfc,fadedb->faceb; size_dict={'a': 7, 'b': 11, 'c': 2, 'd': 2, 'e': 13, 'f': 11};
i=1049; efbac,acdb->efd; size_dict={'a': 2, 'b': 3, 'c': 33, 'd': 8, 'e': 2, 'f': 14};
i=1050; ehdmcga,jifdbgciakle->lmkifhbj; size_dict={'a': 5, 'b': 2, 'c': 2, 'd': 2, 'e': 3, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 3, 'k': 2, 'l': 2, 'm': 2};
i=1051; abcgh,ehecdbfa->abdgef; size_dict={'a': 2, 'b': 3, 'c': 8, 'd': 2, 'e': 8, 'f': 8, 'g': 3, 'h': 2};
i=1052; c,fdbea->bdecaf; size_dict={'a': 2, 'b': 4, 'c': 12, 'd': 7, 'e': 10, 'f': 9};
i=1053; bedgajh,aciff->hgefc; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 7, 'e': 4, 'f': 2, 'g': 2, 'h': 3, 'i': 6, 'j': 4};
i=1054; jklehbi,hdaefgc->jgliabd; size_dict={'a': 5, 'b': 2, 'c': 4, 'd': 2, 'e': 2, 'f': 4, 'g': 3, 'h': 2, 'i': 2, 'j': 2, 'k': 2, 'l': 2};
i=1055; abcd,faeb->dfc; size_dict={'a': 2, 'b': 2, 'c': 224, 'd': 2, 'e': 2, 'f': 17};
i=1056; eflchi,jebgaedkch->kfcjhlagibd; size_dict={'a': 3, 'b': 4, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 5, 'h': 2, 'i': 4, 'j': 2, 'k': 2, 'l': 2};
i=1057; cd,bac->cadb; size_dict={'a': 98, 'b': 49, 'c': 4, 'd': 3};
i=1058; ca,b->bc; size_dict={'a': 2, 'b': 132, 'c': 232};
i=1059; fagic,dbhige->eacfbh; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 4, 'e': 5, 'f': 3, 'g': 3, 'h': 3, 'i': 7};
i=1060; ilnfkbebohcja,fkmiklndcgeh->fmiodgaje; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 2, 'l': 2, 'm': 2, 'n': 2, 'o': 3};
i=1061; ba,a->ba; size_dict={'a': 101, 'b': 585};
i=1062; cghjkfbde,kbejghia->idcf; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 2, 'e': 4, 'f': 3, 'g': 3, 'h': 2, 'i': 3, 'j': 2, 'k': 4};
i=1063; fkiehld,bcgajdlf->acibj; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 4, 'e': 2, 'f': 2, 'g': 2, 'h': 4, 'i': 2, 'j': 2, 'k': 2, 'l': 4};
i=1064; ed,acb->cdaeb; size_dict={'a': 9, 'b': 5, 'c': 67, 'd': 10, 'e': 2};
i=1065; ad,bc->acd; size_dict={'a': 78, 'b': 31, 'c': 13, 'd': 2};
i=1066; ab,ca->cb; size_dict={'a': 76, 'b': 2, 'c': 418};
i=1067; fcjelmd,jihbkag->dimghlaebfc; size_dict={'a': 2, 'b': 3, 'c': 4, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 3, 'j': 2, 'k': 3, 'l': 2, 'm': 2};
i=1068; ba,bcad->acd; size_dict={'a': 23, 'b': 58, 'c': 4, 'd': 12};
i=1069; hdbfh,cfdeag->gcheb; size_dict={'a': 2, 'b': 11, 'c': 2, 'd': 9, 'e': 2, 'f': 2, 'g': 19, 'h': 2};
i=1070; fgdbac,fecdg->eab; size_dict={'a': 19, 'b': 2, 'c': 2, 'd': 2, 'e': 9, 'f': 2, 'g': 21};
i=1071; beada,cdba->be; size_dict={'a': 13, 'b': 6, 'c': 9, 'd': 15, 'e': 6};
i=1072; dcab,dcb->a; size_dict={'a': 22, 'b': 115, 'c': 2, 'd': 9};
i=1073; hcgfbjbdei,bchfaige->dfajch; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 5, 'e': 6, 'f': 2, 'g': 5, 'h': 2, 'i': 2, 'j': 4};
i=1074; a,bb->a; size_dict={'a': 25, 'b': 2389};
i=1075; ad,bcea->dbcae; size_dict={'a': 3, 'b': 3, 'c': 3, 'd': 11, 'e': 218};
i=1076; bgacgd,efde->aefbcg; size_dict={'a': 24, 'b': 2, 'c': 7, 'd': 2, 'e': 23, 'f': 2, 'g': 2};
i=1077; aechbdg,dcgfab->gdeafh; size_dict={'a': 3, 'b': 4, 'c': 2, 'd': 2, 'e': 2, 'f': 10, 'g': 7, 'h': 9};
i=1078; gfehc,chahgdb->dfeab; size_dict={'a': 3, 'b': 4, 'c': 2, 'd': 9, 'e': 8, 'f': 2, 'g': 3, 'h': 6};
i=1079; aaf,cedbf->cdbe; size_dict={'a': 8, 'b': 2, 'c': 66, 'd': 4, 'e': 7, 'f': 2};
i=1080; ba,cd->a; size_dict={'a': 25, 'b': 69, 'c': 6, 'd': 6};
i=1081; ebadc,bac->de; size_dict={'a': 9, 'b': 2, 'c': 2, 'd': 2, 'e': 839};
i=1082; ebah,dgcief->fgacbhi; size_dict={'a': 12, 'b': 2, 'c': 4, 'd': 2, 'e': 2, 'f': 8, 'g': 3, 'h': 3, 'i': 2};
i=1083; hjllkgima,hbjghckdfei->abfeclmhd; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 3, 'f': 2, 'g': 2, 'h': 4, 'i': 2, 'j': 2, 'k': 2, 'l': 3, 'm': 2};
i=1084; egefc,hcgfaebd->dab; size_dict={'a': 2, 'b': 9, 'c': 2, 'd': 2, 'e': 5, 'f': 9, 'g': 10, 'h': 2};
i=1085; hbdfgae,dgfcaeh->acb; size_dict={'a': 3, 'b': 2, 'c': 4, 'd': 2, 'e': 12, 'f': 10, 'g': 2, 'h': 4};
i=1086; kflikec,adjebgkhc->jfdiahbgl; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 5, 'e': 4, 'f': 2, 'g': 4, 'h': 2, 'i': 2, 'j': 2, 'k': 3, 'l': 2};
i=1087; bhdefhg,ceabgf->chda; size_dict={'a': 18, 'b': 2, 'c': 3, 'd': 12, 'e': 2, 'f': 2, 'g': 6, 'h': 2};
i=1088; dbc,abec->dea; size_dict={'a': 25, 'b': 5, 'c': 2, 'd': 30, 'e': 8};
i=1089; aeb,eedac->b; size_dict={'a': 26, 'b': 3, 'c': 27, 'd': 12, 'e': 2};
i=1090; dbca,abd->bdc; size_dict={'a': 8, 'b': 26, 'c': 9, 'd': 33};
i=1091; koacbendh,alhgbegfmjni->bmidlojkf; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 3, 'j': 2, 'k': 2, 'l': 2, 'm': 2, 'n': 2, 'o': 2};
i=1092; cbea,bd->dac; size_dict={'a': 18, 'b': 2, 'c': 107, 'd': 5, 'e': 3};
i=1093; acd,bcda->b; size_dict={'a': 54, 'b': 40, 'c': 2, 'd': 14};
